"Index","open","high","low","close","volume","spline","eps"
" 1 2007",1418.030029,1440.689941,1403.969971,1422.180054,48272780000,1374.3806761687,1463.60154237656
" 2 2007",1422.030029,1461.569946,1418.459961,1451.189941,49445760000,1394.42391611483,1484.53256879699
" 3 2007",1451.040039,1456.949951,1363.97998,1420.859985,78434900000,1411.5937482131,1506.1857330051
" 4 2007",1420.829956,1498.02002,1416.369995,1494.069946,53939050000,1423.6989045361,1527.52988419511
" 5 2007",1494.069946,1532.430054,1476.699951,1515.72998,59163940000,1430.66314088853,1545.5125505183
" 6 2007",1515.550049,1540.560059,1484.180054,1503.349976,74210330000,1432.93896900813,1556.57592986524
" 7 2007",1504.660034,1555.900024,1458.949951,1458.949951,61684130000,1431.23236638629,1558.07606005289
" 8 2007",1458.930054,1503.890015,1370.599976,1473.98999,100035060000,1427.26317352909,1551.02433860397
" 9 2007",1473.959961,1538.73999,1439.290039,1526.75,57809700000,1423.00469669623,1537.34600296761
"10 2007",1527.290039,1576.089966,1489.560059,1535.280029,65732510000,1419.48833523114,1519.65054733929
"11 2007",1536.920044,1552.76001,1406.099976,1481.140015,96537020000,1413.97786081199,1503.28449289988
"12 2007",1479.630005,1523.569946,1435.650024,1478.48999,62380790000,1402.79513820065,1494.2786175766
" 1 2008",1475.25,1475.829956,1270.050049,1330.609985,82869280000,1383.43281535515,1495.86871422614
" 2 2008",1330.699951,1396.02002,1316.75,1330.630005,96583070000,1358.06667301806,1500.11063542317
" 3 2008",1330.449951,1359.680054,1256.97998,1315.219971,89000180000,1330.04327512814,1496.26524867184
" 4 2008",1315.920044,1399.109985,1312.810059,1397.839966,78236410000,1302.24686897957,1476.94158993773
" 5 2008",1397.959961,1440.23999,1373.069946,1400.380005,92921690000,1275.71243528828,1448.14136903207
" 6 2008",1399.619995,1404.050049,1272,1278.380005,91581710000,1251.01263812564,1419.21446422757
" 7 2008",1278.060059,1292.170044,1200.439941,1257.76001,109338320000,1228.21075022548,1394.46497638325
" 8 2008",1257.76001,1313.150024,1234.369995,1282.829956,106940590000,1205.33247897135,1358.01389670364
" 9 2008",1287.829956,1303.040039,1133.5,1213.27002,127764580000,1179.89414040924,1288.93643897961
"10 2008",1209.069946,1209.069946,839.799988,968.75,172065770000,1150.01878704332,1174.94856166788
"11 2008",968.669983,1007.51001,741.02002,896.23999,115660210000,1116.25641721033,1038.3292018885
"12 2008",888.609985,918.849976,815.690002,872.799988,101760300000,1079.76376570519,909.998041427319
" 1 2009",872.369995,943.849976,804.299988,825.880005,123214810000,1041.87762126522,815.362539625862
" 2 2009",823.090027,875.01001,734.52002,735.090027,124492210000,1004.65498839739,757.781266048159
" 3 2009",729.570007,832.97998,666.789978,815.940002,149841880000,970.332925551082,735.100567813885
" 4 2009",809.070007,875.630005,779.809998,866.22998,125951460000,941.192435561155,743.377898539848
" 5 2009",862.820007,930.169983,847.119995,919.140015,156520560000,919.690298804353,771.515137831405
" 6 2009",923.26001,956.22998,888.859985,918.900024,103813820000,908.327240042896,806.625271791048
" 7 2009",919.859985,996.679993,869.320007,987.47998,115475120000,908.786045559719,839.763134540575
" 8 2009",990.219971,1039.469971,978.51001,1028.930054,111054710000,919.477747720635,877.750952279021
" 9 2009",1025.209961,1080.150024,991.969971,1044.380005,102624340000,937.995440412172,931.352799224726
"10 2009",1045.380005,1101.359985,1019.950012,1036.189941,128086700000,961.661264616996,1005.1687482638
"11 2009",1036.180054,1113.689941,1029.380005,1091.48999,81086010000,986.713549702312,1079.14286695348
"12 2009",1091.069946,1130.380005,1085.890015,1115.099976,93410850000,1009.11967213146,1127.05522151877
" 1 2010",1116.560059,1150.449951,1071.589966,1073.869995,90947580000,1026.34006845494,1131.32717065776
" 2 2010",1073.890015,1112.420044,1044.5,1104.48999,84561340000,1041.80741557185,1108.94524296096
" 3 2010",1105.359985,1180.689941,1105.359985,1166.589966,90738630000,1060.44745046847,1085.53725949199
" 4 2010",1167.709961,1219.800049,1165.77002,1186.689941,129686830000,1085.37091486267,1080.2267653217
" 5 2010",1188.579956,1205.130005,1040.780029,1089.410034,127662780000,1112.42856939888,1086.12020154999
" 6 2010",1087.300049,1131.22998,1042.170044,1076.76001,95006560000,1135.65617945312,1089.819733284
" 7 2010",1077.5,1120.949951,1010.909973,1101.599976,109878300000,1150.79396450983,1082.16811777729
" 8 2010",1107.530029,1129.23999,1039.699951,1064.589966,78781490000,1160.39996048698,1070.97048086921
" 9 2010",1062.900024,1148.900024,1040.880005,1148.670044,70658070000,1168.73665741093,1068.27254054551
"10 2010",1148.640015,1196.140015,1131.869995,1183.26001,105424410000,1178.7135805514,1082.68017726534
"11 2010",1185.709961,1227.079956,1173,1189.400024,79192920000,1187.82839615156,1109.03992138135
"12 2010",1189.079956,1262.599976,1173.640015,1257.640015,88942680000,1192.22580569797,1138.75846571955
" 1 2011",1257.619995,1302.670044,1257.619995,1276.339966,87997780000,1189.90941619593,1164.86045442284
" 2 2011",1276.5,1344.069946,1276.5,1319.880005,62137970000,1186.31845672588,1186.84233690157
" 3 2011",1321.609985,1332.280029,1249.050049,1313.800049,76686900000,1188.75106188703,1205.81851388299
" 4 2011",1315.449951,1364.560059,1294.699951,1363.609985,91438400000,1202.06577380249,1222.37782718736
" 5 2011",1365.209961,1370.579956,1311.800049,1331.099976,77012740000,1221.36276469106,1235.00688300715
" 6 2011",1331.099976,1345.199951,1258.069946,1268.449951,75110360000,1239.3026142954,1241.66672862788
" 7 2011",1268.439941,1356.47998,1267.530029,1292.280029,96810780000,1250.32124601273,1241.66865438424
" 8 2011",1292.589966,1307.380005,1101.540039,1176.800049,94350690000,1255.9559578583,1239.72492280772
" 9 2011",1177.910034,1230.709961,1114.219971,1131.420044,116855300000,1259.5193915019,1241.89803947897
"10 2011",1131.209961,1292.660034,1074.77002,1285.089966,93753460000,1263.68775909263,1253.51143109465
"11 2011",1284.959961,1284.959961,1158.660034,1158.670044,74869950000,1268.591554697,1276.93220881531
"12 2011",1158.670044,1269.369995,1158.670044,1257.599976,88457740000,1273.72484286083,1313.78840491749
" 1 2012",1258.859985,1333.469971,1258.859985,1316.329956,7.1673e+10,1278.95326104897,1363.40130598452
" 2 2012",1316.160034,1368.920044,1300.48999,1365.73999,74569890000,1285.62873840245,1415.86521582684
" 3 2012",1365.199951,1419.150024,1340.030029,1408.469971,95610040000,1295.47477698128,1458.96769256169
" 4 2012",1408.469971,1422.380005,1357.380005,1403.359985,71187700000,1309.75103905449,1483.46024487014
" 5 2012",1403.26001,1415.319946,1291.97998,1317.819946,78960950000,1327.86182772696,1491.95018368865
" 6 2012",1318.900024,1363.459961,1266.73999,1362.160034,93115990000,1348.74760631257,1490.00877051748
" 7 2012",1362.329956,1389.189941,1325.410034,1385.969971,66070180000,1371.14431701688,1483.09400396801
" 8 2012",1385.939941,1426.680054,1354.650024,1406.579956,77317440000,1392.96981761228,1476.21083109587
" 9 2012",1406.540039,1474.51001,1396.560059,1440.670044,69784280000,1411.93744476289,1474.25093606778
"10 2012",1440.900024,1470.959961,1403.280029,1411.939941,68175210000,1426.73892799873,1481.04393690861
"11 2012",1410.98999,1434.27002,1343.349976,1416.180054,75066420000,1439.97956831362,1496.17118707579
"12 2012",1416.339966,1448,1398.22998,1402.430054,63183850000,1455.24305956733,1518.15197388492
" 1 2013",1402.430054,1503.26001,1398.109985,1502.959961,63987970000,1475.3507400776,1545.16323290352
" 2 2013",1502.959961,1530.939941,1495.02002,1515.599976,68887850000,1500.07452599415,1574.01249270676
" 3 2013",1515.599976,1570.280029,1485.01001,1569.189941,83977610000,1528.42397792471,1601.16493012176
" 4 2013",1569.180054,1597.349976,1536.030029,1582.23999,70461730000,1559.58167404054,1623.75703716287
" 5 2013",1582.339966,1687.180054,1581.280029,1630.73999,83083520000,1593.42226276717,1641.61056659346
" 6 2013",1631.709961,1654.189941,1560.329956,1606.280029,74946790000,1629.9934100937,1655.21858636413
" 7 2013",1609.780029,1698.780029,1604.569946,1691.650024,58098380000,1669.13734570014,1665.64141774789
" 8 2013",1690.319946,1709.670044,1627.469971,1632.969971,74811250000,1709.87455403026,1676.2083953074
" 9 2013",1635.949951,1729.859985,1633.410034,1691.75,62865780000,1751.02008321874,1690.81610692771
"10 2013",1687.26001,1759.819946,1646.469971,1759.77002,65965700000,1790.81414571824,1711.62896867938
"11 2013",1759.420044,1813.550049,1746.199951,1805.810059,77618520000,1825.19761125332,1733.88270937494
"12 2013",1806.550049,1844.890015,1767.98999,1841.400024,60352120000,1849.53651386652,1751.08088601239
" 1 2014",1841.469971,1850.839966,1770.449951,1782.589966,80478610000,1861.36847132283,1759.01871744869
" 2 2014",1782.680054,1867.920044,1737.920044,1859.449951,69725590000,1866.91743627722,1762.65806997647
" 3 2014",1857.680054,1883.969971,1834.439941,1857.619995,68610730000,1874.5789451071,1769.25247174733
" 4 2014",1859.160034,1897.280029,1814.359985,1863.400024,63408380000,1890.16873178643,1784.34490209069
" 5 2014",1865,1924.030029,1850.609985,1923.569946,75085360000,1909.18332067526,1806.63614504741
" 6 2014",1923.869995,1968.170044,1915.97998,1960.959961,60246030000,1924.53943373019,1833.11643583623
" 7 2014",1960.790039,1991.390015,1952.859985,1978.339966,55934170000,1931.33876477999,1860.85945461377
" 8 2014",1978.25,2005.040039,1904.780029,2003.369995,71759010000,1933.42289514225,1887.27266128826
" 9 2014",2004.069946,2019.26001,1965.98999,1982.849976,59660460000,1936.81837800677,1909.84696070583
"10 2014",1978.959961,2018.189941,1820.660034,2018.050049,100759580000,1946.3435414996,1926.81749979944
"11 2014",2018.209961,2075.76001,2001.01001,2067.560059,63600190000,1961.98381349187,1939.39639384925
"12 2014",2065.780029,2092.699951,1972.560059,2088.77002,73245110000,1982.51639679097,1949.54000022227
" 1 2015",2087.629883,2093.550049,1988.119995,1994.98999,84828750000,2006.20759806419,1958.86462832818
" 2 2015",1996.670044,2119.590088,1980.900024,2104.5,68775560000,2029.2801394183,1967.62639574737
" 3 2015",2105.22998,2117.52002,2039.689941,2061.02002,70381610000,2047.44584681998,1975.74137210293
" 4 2015",2064.110107,2120.919922,2048.379883,2117.689941,62785510000,2057.39098550479,1983.10302037149
" 5 2015",2119.290039,2134.719971,2067.929932,2107.389893,80757400000,2059.69957778389,1989.51437694378
" 6 2015",2108.639893,2129.870117,2072.139893,2101.48999,65456480000,2055.93008523735,1994.75587156408
" 7 2015",2098.629883,2132.820068,2044.02002,2103.840088,85678090000,2047.8272136748,1998.77873329679
" 8 2015",2104.48999,2112.659912,1867.01001,1988.869995,80711690000,2037.88064582409,2002.21738848674
" 9 2015",1986.72998,2020.859985,1903.069946,1931.339966,70920350000,2028.76630864266,2005.87706279892
"10 2015",1929.180054,2094.320068,1871.910034,2079.360107,98829020000,2022.74482815279,2010.56166502455
"11 2015",2080.76001,2116.47998,2019.390015,2090.110107,71668560000,2020.41562663624,2017.06983645996
"12 2015",2090.949951,2104.27002,1993.26001,2043.939941,87924290000,2021.96282543966,2026.19890152776
" 1 2016",2038.199951,2038.199951,1812.290039,1940.23999,92409770000,2027.3520433797,2038.41921850057
" 2 2016",1936.939941,1962.959961,1810.099976,1948.050049,88461380000,2035.67488915324,2052.89328105106
" 3 2016",1947.130005,2056.600098,1931.810059,2035.939941,83290590000,2045.80446892717,2068.45661670194
" 4 2016",2037.890015,2111.050049,2028.310059,2065.300049,9.5062e+10,2056.42614898585,2084.4979948509
" 5 2016",2067.169922,2099.060059,2025.910034,2099.060059,74369190000,2065.47433608353,2102.61915239559
" 6 2016",2100.129883,2120.550049,2032.569946,2037.410034,72685520000,2070.6956970919,2124.97506810866
" 7 2016",2031.449951,2177.090088,1991.680054,2173.600098,88211840000,2071.19233951887,2152.85848508408
" 8 2016",2173.149902,2193.810059,2147.580078,2169.040039,66182340000,2071.48813341732,2184.11320370114
" 9 2016",2170.189941,2187.870117,2119.120117,2168.27002,86698210000,2077.46238947631,2215.72078866043
"10 2016",2164.330078,2169.600098,2114.719971,2126.409912,69274230000,2093.2350584293,2245.28827599242
"11 2016",2129.780029,2213.350098,2083.790039,2213.350098,79475970000,2115.88865118711,2272.92458704699
"12 2016",2210.209961,2277.530029,2187.439941,2238.830078,87997430000,2140.7463187049,2299.3641145039
" 1 2017",2251.570068,2300.98999,2245.129883,2294.689941,62804460000,2164.27561912896,2325.04599814433
" 2 2017",2286.01001,2368.26001,2267.209961,2367.340088,69048390000,2187.52173936999,2349.22836615525
" 3 2017",2365.22998,2400.97998,2322.25,2362.719971,89340520000,2212.6742735298,2370.87409382506
" 4 2017",2362.340088,2398.159912,2328.949951,2384.199951,65265670000,2241.27784804838,2389.39675396119
" 5 2017",2388.5,2418.709961,2352.719971,2415.820068,71887900000,2272.29721871842,2406.01270944713
" 6 2017",2411.669922,2453.820068,2403.590088,2423.409912,88721760000,2304.0521736708,2422.38902068539
" 7 2017",2431.389893,2484.040039,2407.699951,2472.100098,59700190000,2335.29413520379,2439.68020547766
" 8 2017",2475.939941,2490.870117,2417.350098,2443.050049,62688190000,2366.50106228523,2456.99061122244
" 9 2017",2447.350098,2519.439941,2428.199951,2519.360107,77735030000,2398.58254805035,2472.91204271739
"10 2017",2521.199951,2582.97998,2520.399902,2581.070068,63385470000,2432.29974471759,2486.50946758682
"11 2017",2577.75,2604.209961,2557.449951,2602.419922,65147310000,2467.82004083829,2498.74050476156
"12 2017",2602.659912,2694.969971,2598.870117,2673.610107,80763240000,2505.16238404699,2511.03593599907
" 1 2018",2683.72998,2872.870117,2682.360107,2872.870117,65034360000,2544.26895211025,2524.63191869488
" 2 2018",2867.22998,2870.620117,2532.689941,2747.300049,80004780000,2584.77484332269,2539.98611279672
" 3 2018",2757.370117,2801.899902,2585.889893,2640.870117,87770190000,2626.23838611094,2557.36155389038
" 4 2018",2633.449951,2717.48999,2553.800049,2669.909912,65914060000,2667.99324232598,2577.01615275956
" 5 2018",2682.51001,2742.23999,2594.620117,2721.330078,67818500000,2708.47440751614,2599.18732097963
" 6 2018",2705.110107,2791.469971,2676.810059,2718.370117,88973020000,2745.89221065411,2624.10734532386
" 7 2018",2704.949951,2848.030029,2698.949951,2818.820068,57404300000,2778.73307897279,2651.43865370458
" 8 2018",2819,2916.5,2796.340088,2901.52002,76376090000,2806.58783274592,2678.56423859037
" 9 2018",2896.959961,2940.909912,2864.120117,2913.97998,62492080000,2829.32339050748,2702.29723358882
"10 2018",2926.290039,2939.860107,2628.159912,2658.689941,76435430000,2847.30812131954,2720.42376817801
"11 2018",2682.649902,2815.149902,2603.540039,2760.169922,94972610000,2862.91619635647,2734.62195531777
"12 2018",2790.5,2800.179932,2346.580078,2485.73999,80076700000,2879.02323732074,2747.54290383837
" 1 2019",2498.939941,2675.469971,2443.959961,2664.76001,67942030000,2898.40457580921,2761.64312339601
" 2 2019",2644.969971,2794.199951,2624.060059,2792.669922,70461780000,2923.43438299624,2778.60072695052
" 3 2019",2804.350098,2860.310059,2722.27002,2834.399902,94210400000,2956.38653995061,2799.89922828764
" 4 2019",2848.629883,2939.879883,2848.629883,2939.879883,62566730000,2989,2820
" 5 2019",2940.580078,2954.129883,2862.600098,2879.419922,28235380000,3022,2841
